id,title,genres,averageRating,numVotes,releaseYear
tt0111161,"The Shawshank Redemption",Drama,9.3,2964219,1994
tt0068646,"The Godfather","Crime, Drama",9.2,2067103,1972
tt0252487,"The Chaos Class",Comedy,9.2,43705,1975
tt0259534,"Ramayana: The Legend of Prince Rama","Action, Adventure, Animation",9.2,15574,1993
tt16747572,"The Silence of Swastika","Documentary, History",9.1,10572,2021
tt0468569,"The Dark Knight","Action, Crime, Drama",9,2945633,2008
tt0167260,"The Lord of the Rings: The Return of the King","Action, Adventure, Drama",9,2029317,2003
tt0108052,"Schindler's List","Biography, Drama, History",9,1486729,1993
tt0071562,"The Godfather Part II","Crime, Drama",9,1396096,1974
tt0050083,"12 Angry Men","Crime, Drama",9,893787,1957
tt0110912,"Pulp Fiction","Crime, Drama",8.9,2276143,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama",8.9,2059043,2001
tt27719898,Kaiva,"Action, Drama, Romance",8.9,68928,2023
tt5354160,"Mirror Game","Crime, Mystery, Thriller",8.9,30109,2016
tt0253828,"Tosun Pasha","Comedy, History",8.9,25098,1976
tt0252488,"The Chaos Class Failed the Class",Comedy,8.9,25074,1975
tt5275892,"O.J.: Made in America","Biography, Crime, Documentary",8.9,22681,2016
tt0075143,"The Message","Action, Adventure, Biography",8.9,11007,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2613951,2010
tt0137523,"Fight Club",Drama,8.8,2395760,1999
tt0109830,"Forrest Gump","Drama, Romance",8.8,2319813,1994
tt0167261,"The Lord of the Rings: The Two Towers","Action, Adventure, Drama",8.8,1829534,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,831077,1966
tt23849204,"12th Fail","Biography, Drama",8.8,134501,2023
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","Action, Animation, Fantasy",8.8,25959,2021
tt0253779,"The Foster Brothers","Comedy, History",8.8,21415,1976
tt0084302,"The Marathon Family","Comedy, Drama",8.8,17273,1982
tt10534500,#Home,"Drama, Family",8.8,16067,2021
tt0086935,"Balkan Spy","Comedy, Drama",8.8,12679,1984
tt2077886,"The Phantom of the Opera at the Royal Albert Hall","Drama, Musical, Romance",8.8,10192,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2198506,2014
tt0133093,"The Matrix","Action, Sci-Fi",8.7,2104414,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy",8.7,1410522,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1290879,1990
tt0073486,"One Flew Over the Cuckoo's Nest",Drama,8.7,1093995,1975
tt15097216,"Jai Bhim","Crime, Drama, Mystery",8.7,221574,2021
tt10189514,"Soorarai Pottru",Drama,8.7,126120,2020
tt9263550,"Rocketry: The Nambi Effect","Biography, Drama",8.7,59868,2022
tt7466810,"777 Charlie","Adventure, Comedy, Drama",8.7,41893,2022
tt0093603,Nayakan,"Crime, Drama",8.7,25554,1987
tt0088178,"Stop Making Sense","Documentary, Music",8.7,21755,1984
tt0252490,"The Chaos Class Is Waking Up",Comedy,8.7,21228,1976
tt8176054,"Pariyerum Perumal",Drama,8.7,19086,2018
tt0253614,"Saban, Son of Saban",Comedy,8.7,19046,1977
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.7,17675,1978
tt6019206,"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller",8.7,17577,2006
tt0076276,"Who's Singin' Over There?","Adventure, Comedy, Drama",8.7,16935,1980
tt7738784,Peranbu,"Drama, Family",8.7,16900,2018
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Animation, Fantasy",8.7,16876,2020
tt0201368,"The Broken Landlord","Comedy, Drama",8.7,16712,1985
tt17592606,Daman,"Adventure, Drama",8.7,13876,2022
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,12984,1993
tt8737152,Toma,"Biography, Drama, Music",8.7,12711,2021
tt0765833,"Happy Days","Comedy, Drama, Family",8.7,12181,1978
tt0090015,Shoah,"Documentary, History, War",8.7,10810,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1852612,1995
tt0102926,"The Silence of the Lambs","Crime, Drama, Thriller",8.6,1591816,1991
tt0120815,"Saving Private Ryan","Drama, War",8.6,1532909,1998
tt0076759,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy",8.6,1479254,1977
tt0120689,"The Green Mile","Crime, Drama, Fantasy",8.6,1446012,1999
tt0103064,"Terminator 2: Judgment Day","Action, Adventure, Sci-Fi",8.6,1203701,1991
tt0245429,"Spirited Away","Adventure, Animation, Family",8.6,879837,2001
tt0317248,"City of God","Crime, Drama",8.6,819133,2002
tt0118799,"Life Is Beautiful","Comedy, Drama, Romance",8.6,759858,1997
tt10811166,"The Kashmir Files",Drama,8.6,575388,2022
tt0038650,"It's a Wonderful Life","Drama, Family, Fantasy",8.6,509823,1946
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.6,416047,2023
tt0047478,"Seven Samurai","Action, Drama",8.6,375475,1954
tt0056058,Harakiri,"Action, Drama, Mystery",8.6,74041,1962
tt0367495,"Anbe Sivam","Adventure, Comedy, Drama",8.6,26164,2003
tt0358456,Earthlings,Documentary,8.6,19987,2005
